Coluna1,Coluna2,Coluna3,Coluna4,Coluna5,Coluna6
007,013,017,030,037,047
007,011,034,041,042,059
005,011,027,038,053,060
019,030,041,047,056,057
013,016,017,026,041,044
004,011,025,029,039,055
004,011,025,039,050,055
002,014,028,029,031,032
022,024,030,032,038,041
014,023,030,041,047,050
014,016,024,037,038,053
005,032,034,037,040,058
012,021,022,028,043,050
006,024,028,043,051,056
016,020,027,030,035,048
003,019,020,031,040,053
012,016,017,019,023,048
020,022,027,047,050,053
004,011,031,032,048,049
011,018,029,044,047,056
026,031,033,040,049,054
008,015,022,025,030,047
001,003,004,021,023,053
021,023,040,044,051,052
029,032,033,038,046,048
005,007,014,021,023,051
010,011,012,024,035,040
002,004,014,023,037,051
001,013,020,027,035,037
023,028,029,034,042,044
004,027,035,044,052,053
014,023,024,026,041,051
007,023,033,043,057,059
002,018,022,026,030,054
004,014,016,031,052,054
001,004,009,036,046,048
005,012,013,016,027,050
009,010,012,033,042,060
005,016,022,023,043,056
016,029,034,049,051,054
004,006,007,012,024,041
010,012,014,033,035,036
011,022,046,051,056,058
007,012,041,046,056,060
001,010,012,026,048,052
019,030,033,039,040,052
008,009,028,032,038,054
010,015,023,030,043,057
015,016,024,041,059,060
007,020,025,044,047,049
019,023,030,046,055,060
007,016,038,040,041,052
002,014,022,023,037,060
005,019,021,054,056,058
002,030,032,035,045,053
012,017,021,032,040,042
013,019,020,029,031,054
023,024,029,047,053,055
016,028,031,041,045,059
007,020,033,037,046,056
019,029,039,047,049,054
005,029,044,051,057,059
019,023,034,037,052,058
004,006,007,015,021,051
010,012,027,033,049,052
013,029,032,038,044,050
001,014,021,035,042,060
001,004,040,042,051,054
004,018,023,033,039,060
016,017,024,039,046,057
001,005,010,024,031,033
002,005,016,026,044,054
001,005,009,042,051,058
010,013,025,035,043,048
003,012,019,027,045,046
005,038,041,045,048,055
024,033,040,041,055,059
013,022,030,031,047,057
009,010,028,046,055,056
031,034,037,038,053,054
014,022,048,050,053,056
024,028,040,047,050,052
005,012,016,018,022,024
017,035,036,039,043,054
022,028,029,043,047,048
023,036,048,052,053,058
005,014,018,043,046,054
007,012,022,034,038,053
004,007,015,016,035,040
015,023,031,039,047,049
006,012,035,036,040,050
005,015,035,042,045,049
010,011,014,020,031,058
006,018,034,042,045,047
001,002,005,024,032,046
007,016,022,028,036,037
011,016,027,047,055,059
010,013,028,029,054,059
011,018,043,044,050,053
005,016,027,043,056,058
007,016,027,031,046,060
001,024,028,038,040,058
024,029,034,047,057,060
002,012,032,038,047,048
002,018,022,049,051,057
014,028,033,044,049,056
018,025,026,031,034,049
008,024,031,036,038,055
010,012,031,038,045,056
005,012,014,021,045,059
002,004,029,033,035,053
016,026,035,045,052,058
001,004,027,038,042,044
001,013,023,033,054,056
007,012,021,025,034,042
008,015,032,045,049,052
009,016,041,042,052,053
012,029,030,043,057,059
005,035,037,038,045,051
012,037,043,055,056,060
008,022,032,033,040,053
018,027,029,036,046,059
006,010,016,034,042,047
007,030,032,037,050,054
003,013,014,024,043,051
008,028,030,032,046,060
017,026,032,036,043,055
008,010,021,025,038,050
026,037,040,047,052,058
004,013,017,027,039,050
016,017,028,030,036,054
004,010,017,024,030,054
010,011,017,031,037,043
001,006,007,029,048,057
007,010,030,044,054,059
003,005,011,014,038,048
013,020,029,042,043,057
003,005,023,030,046,047
002,010,015,021,058,059
006,015,023,031,037,059
011,017,026,036,048,052
003,024,033,048,052,057
007,020,031,032,050,053
008,011,012,017,020,047
015,024,025,033,042,055
003,005,009,045,051,052
001,008,024,034,049,056
001,009,013,050,051,059
017,018,023,028,031,053
011,016,030,036,051,054
008,020,023,034,052,058
004,017,024,042,046,056
002,014,015,017,050,059
003,017,022,027,033,040
015,017,024,027,032,048
013,024,032,034,043,053
008,015,017,039,043,049
019,023,030,037,049,055
015,017,020,029,030,060
017,019,022,026,027,048
002,003,007,018,045,053
006,024,033,038,045,050
001,022,031,046,051,057
011,016,028,029,030,045
008,018,021,022,038,060
005,006,023,025,039,051
013,021,026,029,042,047
008,011,023,037,051,058
005,031,032,036,051,059
003,004,012,029,038,051
007,023,041,049,051,058
003,012,032,034,040,050
006,008,019,022,043,052
017,020,038,043,055,058
006,008,018,034,038,047
003,008,021,025,030,031
020,026,041,046,054,058
014,033,036,038,041,049
006,013,022,024,042,044
012,013,033,053,054,056
016,018,023,035,044,059
017,018,019,038,049,053
019,028,030,038,052,057
008,014,019,030,042,050
008,022,025,048,052,054
015,030,035,039,043,057
017,028,033,036,053,059
005,011,023,029,054,058
001,009,015,022,043,055
002,006,015,018,056,057
003,018,020,024,042,054
018,020,028,032,049,053
008,015,029,036,049,060
010,019,020,029,041,059
009,013,020,032,041,058
002,006,028,049,050,057
001,004,005,011,044,059
021,029,035,036,038,054
016,027,028,034,039,056
007,013,021,024,033,050
007,010,021,027,048,049
008,011,019,030,039,050
003,020,028,046,047,052
004,015,031,034,037,038
003,005,027,033,044,058
005,010,015,045,046,056
028,032,033,034,035,055
001,004,030,041,045,058
003,004,008,034,036,037
004,008,031,040,053,058
010,019,027,033,039,046
015,036,040,042,051,052
015,016,039,045,048,057
005,013,024,033,034,035
007,008,028,032,038,051
005,008,010,015,018,044
009,015,019,022,036,042
009,012,017,032,034,035
015,025,028,032,038,045
006,014,015,025,049,052
028,039,040,044,045,058
019,029,034,041,047,048
008,010,024,026,032,049
003,021,031,036,055,059
006,014,017,026,050,052
008,012,028,031,034,037
001,013,033,038,045,056
001,006,021,025,032,049
001,003,007,018,035,050
004,009,012,013,052,053
013,018,021,027,053,059
003,008,023,031,048,057
006,014,028,047,049,056
014,015,022,023,025,037
003,007,019,034,037,039
003,025,043,045,052,056
006,016,019,047,050,055
004,022,028,030,044,049
013,027,049,052,057,058
004,006,019,028,035,049
035,037,042,046,049,054
011,017,033,034,047,056
017,029,035,040,043,057
004,005,013,017,046,054
004,013,028,030,053,059
014,047,049,051,058,059
008,013,022,046,051,058
016,017,038,039,045,056
012,021,046,048,056,057
009,022,047,049,052,054
004,043,046,053,054,058
015,029,031,042,047,060
005,023,031,033,045,049
008,010,017,030,033,045
008,012,018,023,038,049
007,014,031,057,058,059
006,013,017,025,036,053
002,011,018,030,032,058
001,020,036,039,049,055
016,023,035,037,055,057
005,008,023,034,044,051
010,013,020,032,038,049
007,031,034,035,037,045
006,013,017,018,020,037
011,031,038,041,057,058
013,017,022,025,029,041
003,009,014,015,032,057
015,032,033,035,036,051
012,013,014,031,050,051
003,009,016,020,033,060
006,017,022,029,040,059
002,010,017,023,032,044
005,018,021,029,035,048
007,008,018,039,043,052
008,023,024,028,031,047
003,018,023,048,056,058
004,009,015,017,034,039
015,016,018,028,038,047
014,017,025,030,039,052
013,029,040,045,051,059
006,007,020,041,043,055
007,008,023,030,032,053
012,024,033,036,039,057
011,013,038,039,045,054
002,018,029,030,036,060
011,013,045,046,053,055
006,007,008,013,033,059
004,005,018,025,028,051
001,003,018,034,050,058
013,014,042,047,055,059
001,025,027,029,049,059
010,013,029,047,053,055
001,002,025,043,050,054
011,014,028,043,054,060
022,027,029,040,042,056
005,016,034,038,050,053
004,006,009,023,045,051
016,018,031,034,039,054
010,019,022,029,030,037
007,013,038,046,055,060
004,008,011,012,029,044
015,025,041,046,049,051
004,024,044,049,052,053
006,023,032,035,041,055
006,011,019,027,041,059
006,013,019,024,030,037
002,006,015,058,059,060
025,030,043,045,047,049
016,021,022,033,048,049
015,018,033,050,053,055
006,013,019,044,054,055
012,016,031,048,057,060
005,008,010,027,031,051
002,012,016,024,026,054
003,005,025,033,036,049
003,008,010,013,024,060
008,012,014,016,019,046
001,003,013,022,029,032
026,029,031,049,050,057
019,027,029,038,050,059
009,023,030,042,049,055
008,023,034,039,043,052
012,024,032,040,042,059
007,008,018,022,039,049
001,013,019,045,056,058
008,016,022,030,056,058
015,016,039,040,047,051
012,016,020,045,053,060
001,020,028,032,044,047
002,019,028,048,051,054
005,011,022,027,046,050
010,013,024,041,042,056
008,020,026,037,042,049
026,028,030,032,034,050
011,018,043,048,052,058
010,011,036,041,042,050
013,035,039,045,051,060
012,019,042,046,059,060
001,009,013,017,033,034
017,036,040,044,051,056
014,024,037,040,042,045
014,027,029,031,034,057
003,024,048,052,053,054
010,013,032,047,049,060
011,012,014,019,054,056
005,023,029,042,045,048
009,024,033,041,048,054
010,024,025,029,053,059
026,028,039,045,048,060
010,018,020,024,056,057
005,009,019,024,031,034
006,010,011,040,041,056
001,026,037,039,043,048
035,036,037,046,051,059
016,020,033,058,059,060
003,006,011,020,036,041
014,029,034,040,051,052
005,011,038,046,053,054
004,027,036,040,042,055
004,018,023,025,056,060
001,027,030,049,051,055
001,012,036,038,055,059
007,008,018,025,047,048
007,016,026,029,045,055
001,004,005,016,023,049
001,002,014,033,049,056
007,024,027,040,041,049
022,037,042,048,058,059
009,016,027,038,039,051
024,028,034,038,043,053
006,011,020,034,037,040
018,022,029,032,038,042
024,025,030,042,043,050
009,015,032,041,042,049
008,010,025,032,048,055
014,031,040,042,044,046
003,021,025,037,054,058
002,003,005,022,026,044
021,025,038,053,058,059
004,027,036,037,047,060
002,011,012,035,040,043
017,019,033,037,040,050
005,012,027,033,043,056
004,005,015,026,033,054
001,007,014,041,048,059
011,021,030,035,047,052
006,007,031,049,051,060
008,012,015,041,047,053
008,016,037,050,055,058
011,018,033,057,058,060
013,014,017,031,041,050
015,019,029,037,041,053
006,011,013,021,040,052
009,016,034,037,053,057
028,031,032,035,051,053
008,012,022,027,043,055
017,023,048,050,053,054
002,003,014,024,031,040
001,013,023,031,048,060
001,018,045,056,057,058
002,011,024,027,030,045
002,004,018,027,034,050
003,011,013,015,026,043
002,007,010,017,022,060
001,008,010,036,043,051
007,009,013,039,045,047
004,006,009,022,029,044
005,025,034,039,046,049
005,010,033,040,041,059
007,008,035,043,053,058
001,012,016,026,046,054
007,008,017,035,039,053
004,012,024,033,036,054
002,007,016,029,032,050
006,017,023,028,035,041
007,021,033,035,039,058
003,032,037,039,047,053
012,031,044,051,054,056
003,014,023,025,036,055
009,018,036,044,057,060
001,006,016,036,050,052
017,027,034,048,051,055
003,009,035,037,041,049
001,005,007,037,040,047
004,012,014,030,042,059
008,013,024,032,042,044
005,018,033,043,056,057
002,015,016,045,050,054
006,015,016,023,028,035
006,017,019,049,050,053
002,012,026,031,043,046
027,029,043,044,045,054
009,015,038,040,042,052
001,021,038,041,049,056
011,012,024,032,033,038
014,015,026,030,042,054
006,010,035,045,049,056
012,016,028,029,047,050
024,026,027,036,039,059
002,007,017,034,041,050
020,023,025,032,054,060
004,012,023,026,039,046
002,016,021,037,043,057
001,010,012,025,049,057
002,003,012,021,023,056
001,002,007,019,035,051
004,024,047,048,050,057
010,017,033,042,054,058
004,007,020,025,038,050
004,023,024,025,029,042
002,007,022,035,043,059
003,004,013,034,042,050
004,012,030,047,049,059
005,027,037,038,041,050
012,017,018,030,032,058
001,023,036,043,047,059
030,031,039,045,048,059
012,017,044,045,046,060
013,017,027,029,040,056
009,012,021,037,039,054
001,009,026,040,047,048
003,007,045,047,053,055
003,010,016,030,037,050
001,019,024,042,050,058
015,022,032,038,050,054
004,008,030,033,037,059
012,016,020,021,029,050
004,012,025,034,035,048
014,021,029,034,046,047
010,035,038,051,052,060
003,005,014,029,034,051
005,010,037,046,054,058
012,027,042,046,047,050
003,015,035,041,057,060
002,014,023,028,050,056
020,031,036,037,045,051
025,026,029,036,052,054
007,010,028,050,051,059
008,010,013,039,054,056
002,011,023,035,042,059
004,008,021,032,043,048
008,027,037,042,053,056
005,008,017,035,037,048
010,011,026,027,031,041
020,031,034,037,054,060
017,019,029,031,044,057
006,031,038,039,050,060
002,006,019,022,028,043
009,014,019,035,042,058
009,029,034,043,045,056
003,015,016,033,051,057
003,038,042,047,055,056
014,021,026,029,036,048
005,019,024,034,039,043
006,012,047,048,052,058
003,004,009,029,032,052
019,029,035,042,055,057
001,007,011,037,038,056
011,019,020,022,042,048
006,014,018,024,048,060
003,005,010,021,028,057
003,013,037,047,056,059
002,030,036,043,048,060
018,026,035,041,047,060
002,008,027,032,049,056
002,015,021,031,046,057
005,011,015,023,025,030
001,004,005,033,037,048
010,028,032,041,047,057
011,013,038,039,054,057
009,015,023,045,046,056
002,008,011,041,046,050
009,019,037,039,050,057
020,021,030,040,047,052
010,029,030,034,043,052
008,009,022,025,041,044
005,019,025,046,051,058
010,017,021,032,045,046
004,029,033,036,038,042
004,010,017,027,041,052
001,015,026,051,054,059
006,007,009,020,033,048
010,021,028,040,041,047
006,007,008,027,045,053
018,024,030,042,051,056
023,028,038,042,050,053
010,014,032,047,050,056
002,013,041,049,051,053
003,032,033,042,048,050
015,017,023,033,039,049
013,016,046,053,057,058
010,016,017,034,044,051
018,031,033,049,057,058
017,022,028,038,052,059
005,006,016,024,034,060
009,023,030,038,044,047
007,008,011,018,037,043
017,029,031,035,043,059
007,022,032,036,038,051
007,009,030,044,051,060
001,016,034,036,045,048
016,024,034,044,054,057
014,019,020,040,048,052
002,003,044,047,050,054
014,015,027,042,044,048
017,027,032,034,047,056
008,009,039,044,049,058
007,022,025,044,059,060
003,016,019,032,035,058
006,014,023,034,038,044
030,038,046,051,056,059
003,017,024,025,027,044
003,024,031,042,043,053
011,015,040,041,042,047
002,003,017,049,050,059
004,018,023,031,037,054
009,012,034,046,047,057
002,008,017,022,042,044
039,040,042,047,059,060
002,008,011,012,019,035
015,024,032,050,053,057
008,011,031,033,042,057
023,026,027,041,051,053
005,027,036,040,046,048
010,019,026,028,044,054
021,022,025,040,051,057
027,029,042,049,050,051
008,021,034,040,043,052
001,005,010,017,047,058
005,018,031,043,055,058
004,019,030,034,057,059
010,020,042,044,052,059
018,020,024,036,053,058
004,008,012,041,045,060
013,015,020,028,031,036
011,012,037,038,043,054
010,028,029,035,042,046
025,030,037,046,049,051
004,018,024,043,051,056
017,041,042,044,045,060
021,032,037,052,053,060
002,011,012,014,022,039
004,013,031,033,047,051
017,033,037,050,055,059
001,012,021,032,034,044
024,040,050,052,054,060
020,024,034,039,054,060
007,009,017,021,022,054
015,016,019,022,034,035
001,019,042,044,049,052
003,018,026,051,053,056
020,024,028,037,041,044
002,041,043,055,057,058
005,011,022,031,035,041
007,021,022,043,046,057
003,004,008,030,045,054
018,020,036,053,054,058
004,018,021,034,038,059
013,016,032,033,034,056
018,023,050,052,055,058
005,017,020,032,041,055
032,044,048,051,053,059
002,004,015,016,055,057
007,014,024,029,035,039
009,036,037,041,051,053
001,009,019,025,050,052
017,022,026,028,038,042
003,015,027,029,036,053
001,006,028,029,046,049
004,019,021,026,029,054
014,030,036,038,046,059
009,012,023,033,045,051
017,020,026,028,048,049
005,028,033,036,037,038
023,025,030,046,047,059
004,008,012,038,044,052
003,025,031,041,043,060
005,017,024,052,055,057
001,009,035,041,048,057
012,013,019,041,045,049
002,015,039,050,053,057
002,020,021,027,051,060
008,022,036,037,046,052
021,033,034,040,041,059
019,023,026,031,033,036
004,010,032,033,049,060
016,027,035,039,049,057
020,028,037,046,049,055
007,017,019,034,036,039
002,017,021,036,042,053
008,014,025,039,045,051
001,003,021,025,044,048
007,013,018,029,031,045
005,014,022,029,033,044
002,021,022,030,041,052
015,027,035,050,057,059
006,019,023,037,049,050
005,025,031,033,037,051
010,011,015,027,053,060
005,008,018,042,052,059
003,012,023,041,047,058
016,037,043,052,058,059
004,008,027,044,054,059
001,005,012,047,052,059
003,005,011,014,033,058
022,041,044,046,052,054
001,023,041,044,051,052
023,041,042,048,049,059
014,024,034,039,049,055
002,011,018,027,030,054
001,016,039,042,048,055
005,008,018,024,033,057
005,012,021,032,033,035
046,047,051,054,057,059
024,025,032,034,050,057
007,013,022,033,048,051
003,005,011,033,039,057
006,018,019,033,034,053
002,004,016,021,036,053
002,011,040,048,049,055
015,017,037,048,050,059
008,013,020,026,033,042
005,030,036,039,057,058
001,004,026,028,041,058
005,013,014,018,030,057
001,004,013,030,051,060
013,025,035,041,050,056
005,021,028,034,054,057
004,011,014,033,044,045
015,018,031,033,034,056
001,008,030,036,047,053
012,016,020,031,038,045
009,030,033,037,040,041
014,023,025,028,038,053
003,005,007,009,017,032
012,016,018,027,042,058
003,015,028,031,039,051
015,017,029,035,036,059
001,008,034,041,053,058
008,012,024,040,043,049
016,022,032,038,040,045
004,010,020,043,046,047
004,016,018,046,056,059
006,015,019,024,031,032
013,027,031,034,047,058
008,017,046,048,056,060
002,021,027,029,032,038
002,010,015,018,029,039
008,009,015,038,041,060
001,004,006,008,025,028
005,024,025,026,042,060
003,020,029,040,044,058
004,016,031,036,054,055
007,015,020,021,023,029
009,017,018,032,053,055
003,004,021,022,028,032
018,024,036,044,055,058
029,038,039,049,053,058
012,015,027,037,051,060
003,007,025,031,040,058
005,010,016,023,026,027
029,040,043,044,045,047
004,006,012,037,041,042
002,004,017,033,048,055
004,027,036,037,049,052
007,013,015,034,042,048
001,006,012,029,034,058
002,003,013,037,046,054
002,011,021,030,035,052
014,019,040,047,055,058
007,009,012,019,020,041
008,009,025,041,057,060
003,008,017,026,028,049
005,009,011,020,025,060
006,019,031,034,051,056
009,024,044,051,055,058
004,013,023,029,046,047
001,002,019,032,039,052
002,033,042,043,051,055
005,021,031,039,040,056
002,007,008,018,040,045
018,022,028,029,039,053
010,027,028,029,040,052
006,010,017,033,051,053
018,020,033,044,047,060
020,026,034,051,052,054
005,016,017,020,024,032
001,008,023,037,054,057
024,033,040,043,046,049
015,016,026,029,043,057
005,006,017,033,039,054
001,003,018,020,042,049
001,011,026,051,059,060
010,027,036,039,041,052
004,036,044,046,053,056
006,007,028,035,043,051
002,020,024,027,036,052
001,006,028,039,044,055
010,012,036,044,054,057
013,018,025,030,046,051
014,021,025,048,051,060
010,011,013,035,039,058
001,005,006,017,031,050
028,040,042,054,055,057
001,002,008,010,014,048
003,016,021,028,038,057
002,005,017,029,034,052
014,024,026,033,045,060
007,010,011,013,043,057
008,011,015,016,052,057
015,027,034,042,049,053
013,014,018,027,041,060
012,015,016,020,027,032
006,008,038,050,053,059
002,003,004,015,049,059
018,020,024,045,051,057
001,012,014,016,037,045
001,003,016,018,041,042
009,021,023,030,041,056
002,008,023,033,037,055
001,022,044,047,049,050
004,016,019,028,029,049
007,019,030,039,043,057
006,010,025,032,043,049
004,010,014,025,028,056
025,027,044,047,048,057
009,017,028,045,049,053
005,008,016,023,041,053
005,007,037,043,053,054
009,018,019,043,047,054
008,025,032,034,036,044
003,010,023,029,047,050
010,012,016,021,039,053
004,010,019,032,033,042
005,006,009,011,018,037
003,006,034,041,043,045
005,012,024,028,036,037
011,018,020,034,041,056
009,016,024,029,052,056
004,017,038,040,050,055
010,020,023,028,042,043
005,020,029,033,040,059
012,021,039,040,050,055
002,004,006,010,023,045
003,020,028,032,036,046
006,024,031,035,042,057
002,018,020,032,037,048
009,020,024,036,040,042
017,023,024,027,049,056
001,009,030,033,034,040
019,023,027,038,041,049
009,010,021,036,041,048
010,016,021,023,027,036
003,013,014,016,041,052
001,017,021,033,048,056
011,020,021,030,050,052
014,031,035,038,044,055
007,017,018,033,041,042
006,007,010,012,024,057
009,011,023,035,046,051
010,019,028,041,055,056
002,003,006,035,049,058
001,015,028,043,050,057
004,015,043,047,050,060
003,009,020,036,053,054
007,009,039,043,044,060
006,008,011,014,029,052
006,014,026,028,042,045
004,009,025,032,033,043
004,032,034,043,052,058
003,006,029,036,047,059
003,015,016,022,025,054
018,030,037,041,044,050
004,009,013,017,020,047
001,006,017,027,035,040
008,020,021,043,044,055
010,034,041,044,045,054
007,035,040,044,050,055
004,017,018,054,056,059
026,044,046,049,055,056
004,014,019,039,045,060
007,011,016,018,033,049
003,007,029,033,042,056
004,031,042,052,057,059
005,008,014,024,029,030
008,016,024,039,052,060
012,017,019,032,047,055
005,018,023,032,049,054
001,008,016,034,036,049
012,027,030,033,052,055
005,010,016,021,039,058
009,022,029,036,051,056
004,005,006,019,023,039
007,031,032,034,037,043
019,021,025,028,043,050
002,004,015,018,025,036
009,028,031,036,037,042
010,027,040,046,049,058
009,037,040,050,058,060
003,015,026,028,031,058
003,030,035,044,047,060
001,010,018,019,044,049
003,016,019,024,033,060
006,010,028,033,034,053
006,023,031,033,039,052
027,028,029,032,048,055
007,008,023,036,046,054
015,017,028,031,035,052
001,004,014,021,025,051
014,020,029,036,044,047
006,017,019,034,046,055
004,012,014,021,026,028
020,028,040,041,051,058
009,024,031,044,048,049
009,029,041,043,046,049
023,030,031,054,055,060
005,006,034,046,053,055
001,003,005,018,040,048
